queue	key	label	source	source_id	hint
review-readiness	CHEBI:63684	(+)-(11R,2'S)-erythro-mefloquine	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:155904	(+)-albicanol	CHEBI	PMID:10959585|PMID:11440150|PMID:12130851|PMID:12350155|PMID:16913486	MECHANISM_REVIEW: mechanism is absent; 9 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:32617	(+)-aplasmomycin	ARO+CHEBI	PMID:30089869	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:223316	(+)-artemisinin	CHEBI	PMID:15330155|PMID:18008167|PMID:19090980|PMID:22174561|PMID:7877142	MECHANISM_REVIEW: mechanism is absent; 6 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:15390	(+)-bisdechlorogeodin	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:65552	(+)-calanolide A	CHEBI	PMID:10901131|PMID:12501127|PMID:14980631|PMID:15340243|PMID:9784162	MECHANISM_REVIEW: mechanism is source-seeded and not curator-checked; 5 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:15399	(+)-carvone	CHEBI	PMID:11380545	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:67246	(+)-lariciresinol	CHEBI	PMID:21138310|PMID:21679690|PMID:21973054|PMID:22218086|PMID:8262939	MECHANISM_REVIEW: mechanism is absent; 5 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:67153	(+)-larreatricin	CHEBI	PMID:12960376	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66606	(+)-lyoniresinol-3-α-O-β-D-glucopyranoside	CHEBI	PMID:16212233|PMID:17226467	MECHANISM_REVIEW: mechanism is absent; 2 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:68284	(+)-microdiplodiasone	CHEBI	PMID:21244021	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:66701	(+)-N-(methoxycarbonyl)-N-norboldine	CHEBI	PMID:18991207	MECHANISM_REVIEW: mechanism is absent; 1 source literature lead(s), 0 record evidence item(s), 0 target(s)
review-readiness	CHEBI:72664	(+)-phytocassane A	CHEBI		MECHANISM_REVIEW: mechanism is absent; 0 source literature lead(s), 0 record evidence item(s), 0 target(s)
