identifier	antimicrobial_class	slug
CHEBI:10003	ANTIBACTERIAL	ribostamycin-sulfate
CHEBI:100147	ANTIBACTERIAL	nalidixic-acid
CHEBI:10015	ANTIVIRAL	vobasine
CHEBI:10023	ANTIFUNGAL	voriconazole
CHEBI:100241	ANTIBACTERIAL	ciprofloxacin
CHEBI:100246	ANTIBACTERIAL	norfloxacin
CHEBI:10038	ANTIFUNGAL	wighteone
CHEBI:10050	ANTIVIRAL	xv638
CHEBI:10101	ANTIVIRAL	zalcitabine
CHEBI:10110	ANTIVIRAL	zidovudine
CHEBI:101381	ANTIVIRAL	aloxistatin
CHEBI:101853	ANTIBACTERIAL	gemifloxacin
CHEBI:102130	ANTIBACTERIAL	sulfamerazine
CHEBI:102265	ANTIBACTERIAL	sulfamethazine
CHEBI:102484	ANTIBACTERIAL	sulfisoxazole
CHEBI:102516	ANTIBACTERIAL	sulfamethoxypyridazine
CHEBI:10447	ANTIBACTERIAL	β-thujaplicin
CHEBI:105887	ANTIVIRAL	2-2-spirobi-3-6-7-8-tetrahydro-1h-cyclopenta-g-naphthalene-5-5-dione
CHEBI:106738	ANTIFUNGAL	s-famoxadone
CHEBI:107644	ANTIFUNGAL	piperonylic-acid
CHEBI:113455	BIOCIDE	sodium-benzoate
CHEBI:116278	ANTIMYCOBACTERIAL	lomefloxacin
CHEBI:119486	ANTIVIRAL	efavirenz
CHEBI:119573	ANTIVIRAL	delavirdine
CHEBI:121196	ANTIMICROBIAL_UNSPECIFIED	reumycin
CHEBI:122	ANTIFUNGAL	usnic-acid
CHEBI:124991	ANTIBACTERIAL	cefalotin
CHEBI:125354	ANTIVIRAL	plerixafor
CHEBI:127780	ANTIVIRAL	phosphonoformic-acid
CHEBI:131196	ANTIFUNGAL	osu-03012
CHEBI:131494	ANTIFUNGAL	5-6-dehydrotomatine
CHEBI:131580	ANTIVIRAL	6-azathymidine
CHEBI:131600	ANTIFUNGAL	dipymetitrone
CHEBI:131601	ANTIFUNGAL	pyraziflumid
CHEBI:131609	ANTIFUNGAL	pneumocandin-b0
CHEBI:131713	ANTIBACTERIAL	xibornol
CHEBI:131714	ANTIBACTERIAL	furagin
CHEBI:131715	ANTIBACTERIAL	rosoxacin
CHEBI:131716	ANTIBACTERIAL	garenoxacin
CHEBI:131719	ANTIBACTERIAL	flurithromycin
CHEBI:131722	ANTIBACTERIAL	sulfaperin
CHEBI:131723	ANTIBACTERIAL	sulfathiourea
