identifier	slug	retired_on
CHEBI:10041	withanolide-d	2026-08-29
CHEBI:132767	ferric-pyrophosphate	2026-08-29
CHEBI:141283	6e-nerolidol	2026-08-29
CHEBI:141328	9-deoxy-hymatoxin-a	2026-08-29
CHEBI:145924	kaletra	2026-08-31
CHEBI:15365	acetylsalicylic-acid	2026-08-29
CHEBI:15903	β-d-glucose	2026-08-29
CHEBI:15940	nicotinic-acid	2026-08-29
CHEBI:15948	lycopene	2026-08-29
CHEBI:16347	r-carnitine	2026-08-29
CHEBI:16480	nitric-oxide	2026-08-29
CHEBI:16684	atropine	2026-08-29
CHEBI:16709	pyridoxine	2026-08-29
CHEBI:16796	melatonin	2026-08-29
CHEBI:17141	cysteamine	2026-08-29
CHEBI:17151	xylitol	2026-08-29
CHEBI:17650	cortisol	2026-08-29
CHEBI:176573	selenium-82-atom	2026-08-29
CHEBI:17754	glycerol	2026-08-29
CHEBI:17924	d-glucitol	2026-08-29
CHEBI:17925	α-d-glucose	2026-08-29
CHEBI:17997	dinitrogen	2026-08-29
CHEBI:18347	l-norleucine	2026-08-29
CHEBI:2038	5-azacytidine	2026-08-29
CHEBI:2567	alendronic-acid	2026-08-29
CHEBI:261649	bismuth-subsalicylate	2026-08-29
CHEBI:26689	singlet-dioxygen	2026-08-29
CHEBI:26710	sodium-chloride	2026-08-29
CHEBI:27470	folic-acid	2026-08-29
CHEBI:27568	selenium-atom	2026-08-29
CHEBI:27690	acetazolamide	2026-08-29
CHEBI:27899	cisplatin	2026-08-29
CHEBI:28689	dehydroepiandrosterone	2026-08-29
CHEBI:28741	sodium-fluoride	2026-08-29
CHEBI:28934	vitamin-d2	2026-08-29
CHEBI:28940	calciol	2026-08-29
CHEBI:2922	auranofin	2026-08-29
CHEBI:30961	pyridoxine-hydrochloride	2026-08-29
CHEBI:31724	iclaprim	2026-09-02
CHEBI:32016	pirfenidone	2026-08-29
CHEBI:32139	sodium-hydrogencarbonate	2026-08-29
CHEBI:32285	13c-urea	2026-08-29
CHEBI:3380	captopril	2026-08-29
CHEBI:34535	ampicillin-sodium	2026-08-29
CHEBI:3483	cefazolin-sodium	2026-08-29
CHEBI:34911	permethrin	2026-08-29
CHEBI:3498	cefotaxime-sodium	2026-08-29
CHEBI:35176	zinc-sulfate	2026-08-29
CHEBI:36704	imiquimod	2026-08-29
CHEBI:3697	cilastatin	2026-08-29
CHEBI:37941	clopidogrel	2026-08-29
CHEBI:38545	rosuvastatin	2026-08-29
CHEBI:38666	r-flurbiprofen	2026-08-29
CHEBI:39548	atorvastatin	2026-08-29
CHEBI:4027	cyclophosphamide	2026-08-29
CHEBI:40279	allopurinol	2026-08-29
CHEBI:41423	celecoxib	2026-08-29
CHEBI:41500	4-phenylbutyric-acid	2026-08-29
CHEBI:4167	d-glucopyranose	2026-08-29
CHEBI:41879	dexamethasone	2026-09-02
CHEBI:42446	s-flurbiprofen	2026-08-29
CHEBI:43415	dexibuprofen	2026-08-29
CHEBI:44185	methotrexate	2026-08-29
CHEBI:4462	dexamethasone-sodium-phosphate	2026-08-29
CHEBI:4509	diclofenac-sodium	2026-08-29
CHEBI:45783	imatinib	2026-08-29
CHEBI:46195	paracetamol	2026-08-29
CHEBI:47381	diclofenac	2026-08-29
CHEBI:47835	levibuprofen	2026-08-29
CHEBI:4784	enalapril	2026-08-29
CHEBI:50122	rosiglitazone	2026-08-29
CHEBI:50123	rosiglitazone-50123	2026-08-29
CHEBI:50125	rosiglitazone-50125	2026-08-29
CHEBI:50686	atorvastatin-calcium	2026-08-29
CHEBI:51255	amoxicillin-sodium	2026-08-29
CHEBI:5130	flurbiprofen	2026-08-29
CHEBI:52457	selenium-77-atom	2026-08-29
CHEBI:5855	ibuprofen	2026-08-29
CHEBI:59732	n-methylglucamine	2026-08-29
CHEBI:59958	3s-6e-nerolidol	2026-08-29
CHEBI:59959	3r-6e-nerolidol	2026-08-29
CHEBI:60081	viomycin-3	2026-08-29
CHEBI:6067	isotretinoin	2026-08-29
CHEBI:6128	ketoprofen	2026-08-29
CHEBI:6129	ketorolac	2026-08-29
CHEBI:62523	trans-permethrin	2026-08-29
CHEBI:62984	zinc-acetate	2026-08-29
CHEBI:6339	etoricoxib	2026-08-29
CHEBI:63618	pravastatin	2026-08-29
CHEBI:6375	lansoprazole	2026-08-29
CHEBI:66917	ruxolitinib-phosphate	2026-08-29
CHEBI:66919	ruxolitinib	2026-08-29
CHEBI:6741	meloxicam	2026-08-29
CHEBI:6801	metformin	2026-08-29
CHEBI:68558	ticagrelor	2026-08-29
CHEBI:68609	eritoran	2026-08-29
CHEBI:6888	6α-methylprednisolone	2026-08-29
CHEBI:6931	midazolam	2026-08-29
CHEBI:6932	midazolam-hydrochloride	2026-08-29
CHEBI:71200	tofacitinib	2026-08-29
CHEBI:72291	cobicistat	2026-08-29
CHEBI:75316	sodium-phenylbutyrate	2026-08-29
CHEBI:77032	bromhexine	2026-08-29
CHEBI:78540	apremilast	2026-08-29
CHEBI:7915	pantoprazole	2026-08-29
CHEBI:7963	benzylpenicillin-potassium	2026-08-29
CHEBI:8233	piperacillin-sodium	2026-08-29
CHEBI:82808	agrocinopine-d	2026-08-29
CHEBI:8378	prednisolone	2026-08-29
CHEBI:8382	prednisone	2026-08-29
CHEBI:8426	probenecid	2026-08-29
CHEBI:8614	psilocybin	2026-08-29
CHEBI:8733	quinupristin-dalfopristin	2026-08-31
CHEBI:8768	rabeprazole	2026-08-29
CHEBI:8769	rabeprazole-sodium	2026-08-29
CHEBI:8984	sodium-dodecyl-sulfate	2026-08-29
CHEBI:9139	sildenafil	2026-08-29
CHEBI:9150	simvastatin	2026-08-29
CHEBI:9754	tris	2026-08-29
antibioticmech:aro-2d1eb1b749	ticarcillin-clavulanic-acid	2026-08-31
antibioticmech:aro-2d9d7fefd6	meropenem-vaborbactam	2026-08-31
antibioticmech:aro-3a5151096c	capreomycin	2026-08-31
antibioticmech:aro-461f91937a	trimethoprim-sulfamethoxazole	2026-08-31
antibioticmech:aro-5bcfcd87f2	ceftazidime-clavulanic-acid	2026-08-31
antibioticmech:aro-76e62349b9	piperacillin-tazobactam	2026-08-31
antibioticmech:aro-84537027ef	amoxicillin-clavulanic-acid	2026-08-31
antibioticmech:aro-85960541f2	cefepime-tazobactam	2026-08-31
antibioticmech:aro-9d6b967af6	ganefromycin	2026-08-31
antibioticmech:aro-d629109bc3	ceftazidime-avibactam	2026-08-31
