determinant_id	determinant_name	relation	antibiotic_id	antibiotic_name	mechanism	mechanism_source_id
ARO:3002528	AAC(3)-Ia	confers_resistance_to_antibiotic	ARO:0000003	astromicin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002529	AAC(3)-Id	confers_resistance_to_antibiotic	ARO:0000003	astromicin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002530	AAC(3)-Ib	confers_resistance_to_antibiotic	ARO:0000003	astromicin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002531	AAC(3)-Ic	confers_resistance_to_antibiotic	ARO:0000003	astromicin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002600	AAC(3)-Ib/AAC(6')-Ib3 bifunctional protein	confers_resistance_to_antibiotic	ARO:0000003	astromicin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002666	rmtF	confers_resistance_to_antibiotic	ARO:0000003	astromicin	ANTIBIOTIC_TARGET_ALTERATION	ARO:3000519
ARO:3000491	acrD	confers_resistance_to_antibiotic	ARO:0000005	neomycin	UNKNOWN	
ARO:3002536	AAC(3)-IIIa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002537	AAC(3)-IIIb	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002542	AAC(3)-VIIIa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002543	AAC(3)-IXa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002585	AAC(6')-31	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002641	APH(3')-Ia	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002642	APH(3')-Ib	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002644	APH(3')-IIa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002645	APH(3')-IIb	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002646	APH(3')-IIc	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002647	APH(3')-IIIa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002648	APH(3')-IVa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002649	APH(3')-Va	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002650	APH(3')-Vb	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002651	APH(3')-Vc	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002652	APH(3')-VIa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002653	APH(3')-VIb	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002654	APH(3')-VIIa	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_INACTIVATION	ARO:3000557
ARO:3002665	npmA	confers_resistance_to_antibiotic	ARO:0000005	neomycin	ANTIBIOTIC_TARGET_ALTERATION	ARO:3000519
ARO:3003238	Mycobacteroides abscessus 16S rRNA mutation conferring resistance to neomycin	confers_resistance_to_antibiotic	ARO:0000005	neomycin	UNKNOWN	
ARO:3003402	Escherichia coli 16S rRNA (rrsB) mutation conferring resistance to neomycin	confers_resistance_to_antibiotic	ARO:0000005	neomycin	UNKNOWN	
ARO:3003518	Mycobacteroides chelonae 16S rRNA mutation conferring resistance to neomycin	confers_resistance_to_antibiotic	ARO:0000005	neomycin	UNKNOWN	
ARO:3003544	Mycolicibacterium smegmatis 16S rRNA (rrsA) mutation conferring resistance to neomycin	confers_resistance_to_antibiotic	ARO:0000005	neomycin	UNKNOWN	
ARO:3003545	Mycolicibacterium smegmatis 16S rRNA (rrsB) mutation conferring resistance to neomycin	confers_resistance_to_antibiotic	ARO:0000005	neomycin	UNKNOWN	
