target_id	target_name	target_definition	antibiotic_id	antibiotic_name
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000003	astromicin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000005	neomycin
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:0000006	erythromycin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000007	dibekacin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000008	cefoxitin
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000011	cloxacillin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000012	streptothricin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000013	amikacin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000014	gentamicin C
ARO:3000749	beta-lactam sensitive penicillin-binding protein	Penicillin-binding proteins (PBPs) are responsible for transpeptidation, joining subunits to form peptidoglycan. They are numbered according to descending molecular weight, and may vary between species. These numbers represent the PBPs of E. coli. Inhibition of the larger PBPs responsible for transpeptidation (1-3) are lethal. Smaller PBPs (4-6) are involed in carboxypeptidation; inhibition of these is non-lethal.	ARO:0000015	methicillin
ARO:3000729	ribosomal complex	The ribosomal complex can be targeted by antibiotics that stabilize the entire complex and prevent further translation. These antibiotics target both subunits in the process of protein translation.	ARO:0000018	viomycin
ARO:3000739	RNA guanosine binding site	RNA intron self-splicing action can be inhibited by antibiotics that target a G-binding site to compete with the guanosine cofactor.	ARO:0000018	viomycin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000021	ribostamycin
ARO:3000733	fluoroquinolone sensitive gyrA	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the alpha-subunit is sufficient to inhibit DNA supercoiling.	ARO:0000023	enoxacin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000024	butirosin
ARO:3000724	fosfomycin sensitive pyruvyl transferase (murA)	Pyruvyl transferase is responsible for the conversion of N-acetylglucosamine (NAG) to N-acetylmuramic acid (NAMA). NAMA is a part of the macromolecular backbone of peptidoglycans. Pyruvyl transferase is found in both Gram-positive and Gram-negative bacteria.	ARO:0000025	fosfomycin
ARO:3000757	50S ribosomal subunit P-site	The P-site of the ribosome binds the peptidyl-tRNA with the growing polypeptide chain, and is a common target for many antibiotics that inhibit the 50S ribosomal subunit. Some antibiotics (oxazolidinones) block the 50S subunit from interacting with the 30S subunit to prevent the formation of the ribosomal complex. Other antibiotics (thiostrepton) block the 50S subunit from interacting with elongation factors G and Tu (EF-G, Ef-Tu), preventing GTP-dependent reactions of peptidyl transferase, and translocation, respectively. Other antibiotics (macrolides) prevent protein translocation.	ARO:0000027	roxithromycin
ARO:3000720	acyl-D-alanyl-D-alanine	The acyl-D-alanyl-D-alanine group is found at the terminal end of the pentapeptide chains of peptidoglycan subunits. Antibiotics that bind to this group block the addition of subunits, inhibiting peptidoglycan synthesis. This group is most accessible in Gram-postive bacteria.	ARO:0000028	vancomycin
ARO:3000720	acyl-D-alanyl-D-alanine	The acyl-D-alanyl-D-alanine group is found at the terminal end of the pentapeptide chains of peptidoglycan subunits. Antibiotics that bind to this group block the addition of subunits, inhibiting peptidoglycan synthesis. This group is most accessible in Gram-postive bacteria.	ARO:0000029	teicoplanin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000030	tigecycline
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000035	sisomicin
ARO:3000733	fluoroquinolone sensitive gyrA	DNA gyrase is responsible for DNA supercoiling and consists of two alpha and two beta subunits. Binding the alpha-subunit is sufficient to inhibit DNA supercoiling.	ARO:0000036	ciprofloxacin
ARO:3000735	Fluoroquinolone sensitive parC	parC is a subunit of the DNA topoisomerase IV and is sensitive to fluoroquinolone.	ARO:0000036	ciprofloxacin
ARO:3003261	fluoroquinolone sensitive gyrB	Beta-subunit of DNA gyrase sensitive to inhibition by fluoroquinolones.	ARO:0000036	ciprofloxacin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000037	apramycin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000038	netilmicin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000039	spectinomycin
ARO:3000755	antibiotic sensitive 16S rRNA	The 16S rRNA of the 30S ribosomal subunit helps to stabilize the aminoacyl-tRNAs for pairing with the mRNA codons. Some antibiotics (aminoglycosides) that target the 16S rRNA lead to mRNA misreading as well as premature termination. Other antibiotics (tetracyclines) that target the 16S rRNA prevent incoming charged-tRNAs from binding to the ribosome's A-site, stopping elongation.	ARO:0000040	streptomycin
ARO:3003431	antibiotic sensitive Ribosomal protein S12 (rpsL)	Ribosomal protein S12 stabilizes the highly conserved pseudoknot structure formed by 16S rRNA. It is targeted and inhibited by streptomycin.	ARO:0000040	streptomycin
ARO:3000719	bacitracin sensitive isoprenyl pyrophosphate	Isoprepnyl pyrophosphate removes a phosphate group that is added from the peptidoglycan subunit to permit its transfer across the cell membrane. The phosphate group must be removed before its incorporation into peptidoglycan macromolecules.	ARO:0000041	bacitracin
