identifier	standard_inchi_key	bindingdb_reactant_set_id	bindingdb_monomer_id	target_name	target_type	target_relation	taxon_id	taxon_label	microbial_root	chain_count	measurement_type	original_value	qualifier	value	unit	bindingdb_entry_assay_id	assay_name	assay_description	reference	article_doi	pmid	protein_examples_json	source_version	source_retrieved_on	curation_source
CHEBI:100147	MHWLWQUZZRMNGJ-UHFFFAOYSA-N	39230	21691	DNA topoisomerase 4 subunit A [V210L]/B	PROTEIN_COMPLEX	MEASURED_TARGET_ASSOCIATION	1423	Bacillus subtilis	Bacteria	2	IC50	1090000	EQ	1090000	nM	2532_2	DNA Topoisomerase IV Assay	The 50% inhibitory concentration (IC50) is defined as the concentration of compound that inhibits the decatenation of kinetoplast DNA by 50%.	PMID:17074800	10.1128/AAC.01311-05	17074800	"[{""accession"":""Q45066"",""label"":""DNA topoisomerase 4 subunit A"",""entry_status"":""REVIEWED"",""chain"":1},{""accession"":""Q59192"",""label"":""DNA topoisomerase 4 subunit B"",""entry_status"":""REVIEWED"",""chain"":2}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:100241	MYSWGUAQZAJSOK-UHFFFAOYSA-N	39229	21690	DNA topoisomerase 4 subunit A [V210L]/B	PROTEIN_COMPLEX	MEASURED_TARGET_ASSOCIATION	1423	Bacillus subtilis	Bacteria	2	IC50	1700	EQ	1700	nM	2532_2	DNA Topoisomerase IV Assay	The 50% inhibitory concentration (IC50) is defined as the concentration of compound that inhibits the decatenation of kinetoplast DNA by 50%.	PMID:17074800	10.1128/AAC.01311-05	17074800	"[{""accession"":""Q45066"",""label"":""DNA topoisomerase 4 subunit A"",""entry_status"":""REVIEWED"",""chain"":1},{""accession"":""Q59192"",""label"":""DNA topoisomerase 4 subunit B"",""entry_status"":""REVIEWED"",""chain"":2}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	3490	1944	Gag-Pol polyprotein [588-1027,K690N]/[588-1147,K690N]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	625	EQ	625	nM	457_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:10514285	10.1021/jm990095j	10514285	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	3262	1944	Gag-Pol polyprotein [588-1027,P823L]/[588-1147,P823L]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	18000	EQ	18000	nM	402_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:8809165	10.1021/jm960158n	8809165	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	2135	1944	Gag-Pol polyprotein [588-1027]/[588-1147]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	260	EQ	260	nM	402_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:8809165	10.1021/jm960158n	8809165	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	2808	1944	Gag-Pol polyprotein [588-1027]/[588-1147]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	1100	EQ	1100	nM	427_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:7684450	10.1021/jm00062a027	7684450	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	2952	1944	Gag-Pol polyprotein [588-1027]/[588-1147]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	1100	EQ	1100	nM	5_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:10698447	10.1016/s0960-894x(99)00664-2	10698447	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	3474	1944	Gag-Pol polyprotein [588-1027]/[588-1147]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	1.3	EQ	1.3	nM	457_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:10514285	10.1021/jm990095j	10514285	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	3664	1944	Gag-Pol polyprotein [588-1027]/[588-1147]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	422	EQ	422	nM	467_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:10821714	10.1021/jm990580e	10821714	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
CHEBI:119573	WHBIGIKBNXZKFE-UHFFFAOYSA-N	3277	1944	Gag-Pol polyprotein [588-1127,Y768C]/[588-1147,Y768C]	VIRAL_PROTEIN	MEASURED_TARGET_ASSOCIATION	11676	Human immunodeficiency virus 1	Viruses	2	IC50	8320	EQ	8320	nM	402_1	HIV-1 RT Assay	The IC50 of reverse transcriptase is the concentration that inhibits 50% of recombinant HIV-1 RT RNA-directed DNA polymerase activity in vitro.	PMID:8809165	10.1021/jm960158n	8809165	"[{""accession"":""P04585"",""label"":""Gag-Pol polyprotein"",""entry_status"":""REVIEWED"",""chain"":1}]"	2026-09	2026-08-31	Curated from the literature by BindingDB
