role_id	name	used_for
CHEBI:136645	profungicide	class
CHEBI:140190	calcium-dependent antibiotics	scope
CHEBI:141153	quinone outside inhibitor	class,mode_of_action
CHEBI:147285	EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor	mode_of_action
CHEBI:149553	anticoronaviral agent	class
CHEBI:170010	EC 2.7.7.48 (RNA-directed RNA polymerase) inhibitor	mode_of_action
CHEBI:172949	antimicrobial cosmetic preservative	class,scope
CHEBI:20854	ATP synthase inhibitor	mode_of_action
CHEBI:22309	alicyclic antibiotics	scope
CHEBI:22311	aliphatic antibiotics	scope
CHEBI:22476	amino acid derivative antibiotics	scope
CHEBI:22587	antiviral agent	class,scope
CHEBI:230471	EC 2.4.1.34 (1,3-β-glucan synthase) inhibitor	mode_of_action
CHEBI:24127	fungicide	class
CHEBI:24869	ionophore	mode_of_action
CHEBI:25355	mitochondrial respiratory-chain inhibitor	mode_of_action
CHEBI:25605	nucleoside antibiotic	scope
CHEBI:26083	phosphorus containing antibiotics	scope
CHEBI:33231	antitubercular agent	class
CHEBI:33281	antimicrobial agent	scope
CHEBI:33282	antibacterial agent	class,scope
CHEBI:35660	HIV protease inhibitor	class,mode_of_action
CHEBI:35718	antifungal agent	class,scope
CHEBI:35816	leprostatic drug	class
CHEBI:35818	coccidiostat	class
CHEBI:35820	antiprotozoal drug	class,scope
CHEBI:36043	antimicrobial drug	scope
CHEBI:36044	antiviral drug	class
CHEBI:36047	antibacterial drug	class
CHEBI:36050	antitreponemal drug	class
CHEBI:36051	antisyphilitic drug	class
CHEBI:36335	trypanocidal drug	class
CHEBI:37416	EC 2.7.7.6 (RNA polymerase) inhibitor	mode_of_action
CHEBI:38068	antimalarial	class
CHEBI:38499	mitochondrial cytochrome-bc1 complex inhibitor	mode_of_action
CHEBI:48001	protein synthesis inhibitor	mode_of_action
CHEBI:48219	disinfectant	class,scope
CHEBI:50502	EC 2.5.1.15 (dihydropteroate synthase) inhibitor	mode_of_action
CHEBI:50683	EC 1.5.1.3 (dihydrofolate reductase) inhibitor	mode_of_action
CHEBI:50685	antitrichomonal drug	class
CHEBI:50750	EC 5.99.1.3 [DNA topoisomerase (ATP-hydrolysing)] inhibitor	mode_of_action
CHEBI:52425	EC 3.2.1.18 (exo-α-sialidase) inhibitor	class,mode_of_action
CHEBI:52629	EC 3.1.26.13 (retroviral ribonuclease H) inhibitor	class,mode_of_action
CHEBI:53559	topoisomerase IV inhibitor	mode_of_action
CHEBI:53756	HIV-1 reverse transcriptase inhibitor	class,mode_of_action
CHEBI:59285	EC 1.14.13.132 (squalene monooxygenase) inhibitor	mode_of_action
CHEBI:59517	DNA synthesis inhibitor	mode_of_action
CHEBI:59672	EC 2.4.1.16 (chitin synthase) inhibitor	mode_of_action
CHEBI:59886	HIV fusion inhibitor	class,mode_of_action
CHEBI:59897	EC 2.7.7.49 (RNA-directed DNA polymerase) inhibitor	class,mode_of_action
CHEBI:64912	antimycobacterial drug	class
CHEBI:64915	antiplasmodial drug	class
CHEBI:64924	hepatitis C protease inhibitor	mode_of_action
CHEBI:64946	anti-HIV agent	class
CHEBI:64947	anti-HIV-1 agent	class
CHEBI:64949	anti-HIV-2 agent	class
CHEBI:64951	anti-HBV agent	class
CHEBI:64952	anti-HSV agent	class
CHEBI:64953	anti-HSV-1 agent	class
CHEBI:64954	anti-HSV-2 agent	class
CHEBI:65256	antimicrobial food preservative	class,scope
CHEBI:67268	HIV-1 integrase inhibitor	class,mode_of_action
CHEBI:70868	antileishmanial agent	class
CHEBI:71168	HIV-1 maturation inhibitor	class,mode_of_action
CHEBI:73214	EC 3.6.3.14 (H+-transporting two-sector ATPase) inhibitor	mode_of_action
CHEBI:73911	vibriostatic agent	class
CHEBI:75282	ergosterol biosynthesis inhibitor	mode_of_action
CHEBI:77402	EC 1.8.1.12 (trypanothione-disulfide reductase) inhibitor	mode_of_action
CHEBI:77884	EC 1.14.13.70 (sterol 14α-demethylase) inhibitor	class,mode_of_action
CHEBI:83072	EC 1.3.5.1 [succinate dehydrogenase (quinone)] inhibitor	mode_of_action
CHEBI:83734	sterol demethylation inhibitor	class
CHEBI:83741	phospholipid biosynthesis inhibitor	mode_of_action
CHEBI:83799	nonstructural protein 5A inhibitor	class,mode_of_action
CHEBI:86327	antifungal drug	class
CHEBI:86328	antifungal agrochemical	class
