application_number	application_type	product_number	sponsor_name	drug_name	ingredient_name	unii	standard_inchi_key	gsrs_record_version	approval_date	submission_status	marketing_status	currently_marketed	drugsfda_version	drugsfda_retrieved_on	unii_version	gsrs_retrieved_on
006882	NDA	001	SANOFI AVENTIS US	PHISOHEX	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1949-04-19	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017411	NDA	001	HUNTINGTON LABS	HEXA-GERM	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1974-09-18	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017412	NDA	001	HUNTINGTON LABS	GERMA-MEDICA	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1978-02-03	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017412	NDA	002	HUNTINGTON LABS	"GERMA-MEDICA ""MG"""	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1978-02-03	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017413	NDA	001	3M	SCRUBTEAM SURGICAL SPONGEBRUSH	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1977-02-22	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017421	NDA	002	DIAL	DIAL	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1976-03-10	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017433	NDA	001	DAVIS AND GECK	PRE-OP	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1978-10-12	AP	Prescription	true	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017433	NDA	002	DAVIS AND GECK	PRE-OP II	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1978-10-12	AP	Prescription	true	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017446	NDA	001	SANOFI AVENTIS US	PHISO-SCRUB	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1977-08-01	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
017452	NDA	001	BECTON DICKINSON	E-Z SCRUB	HEXACHLOROPHENE	IWW5FV6NK2	ACGUYXCXAPNIKK-UHFFFAOYSA-N	25	1976-07-08	AP	Discontinued	false	2026-08-28	2026-08-31	2026-08-31	2026-08-31
